Arrangement Number,Country Name,Country Code,Arrangement Type,Approval Date,Approval Year,Initial End date,Initial End Year,Duration Of Annual Arrangement From,Duration Of Annual Arrangement To,Program Type,Review Type,Review Sequence,Doc. Num,Facilitycode,Inipgmyr,Fycy,Totalaccess,Precautionary,Purchase,Purchaseschedule,Setaside,Comments,Sort
406,ALBANIA                            ,914,PRGF ,5/12/1998,1998,7/31/2001,2001,6/30/2000,7/31/2001,P3,R2  ,L,EBS/01/106,NO FACILITY,2000,CY,45.05,NULL,Yes,Revised ,NULL,"Request for the third year arrangement under the three-year PRGF and extension of commitment period from 5/12/ 2001 to 7/31/2001, to allow time for the final disbursement, refer to the Staff Report  EBS/00/111. Conditionalities and macro tables for the third year arrangmenet refer to the MEFP and MOU, attachments I and II, respectively, to the Staff Report EBS/00/92.",2
77,ALGERIA                            ,612,SBA  ,5/27/1994,1994,5/27/1995,1995,5/27/1994,5/27/1995,P1,OldBoardApproval,E,EBS /94/99,NO FACILITY,1994,CY,457.2,NULL,Yes,Original,NULL,NULL,-1
77,ALGERIA                            ,612,SBA  ,5/27/1994,1994,5/26/1995,1995,5/27/1994,5/26/1995,P1,OC  ,L,EBS /95/ 70,NO FACILITY,1994,CY,457.2,NULL,Yes,NULL,NULL,"This SBA was cancelled and replaced by an EFF on 5/22/95.  Therefore, there was no second review.",0
77,ALGERIA                            ,612,SBA  ,5/27/1994,1994,5/26/1995,1995,5/27/1994,5/26/1995,P1,R1  ,BLANK,EBS /94/192,NO FACILITY,1994,CY,457.2,NULL,Yes,Original,NULL,NULL,1
84,ALGERIA                            ,612,EFF  ,5/22/1995,1995,5/21/1998,1998,5/22/1995,5/21/1996,P1,OldBoardApproval,E,EBS /95/70,NO FACILITY,1995,CY,1169.28,NULL,Yes,Original,NULL,This EFF replaces the 12-month SBA approved on 5/27/94 which was cancelled upon approval of the EFF.,-1
84,ALGERIA                            ,612,EFF  ,5/22/1995,1995,5/21/1998,1998,NULL,NULL,P1,OC  ,L,SM/98/157,CCFF,1995,CY,1169.28,NULL,Yes,Revised ,NULL,"1st review: NDA/NIR targets waived, modified. 2nd review: CCFF purchase of  SDR 174.6 mn on 6/30/96 after Board approved on 6/26/96.",0
84,ALGERIA                            ,612,EFF  ,5/22/1995,1995,5/21/1998,1998,NULL,NULL,P1,R1  ,BLANK,EBS/95/214,NO FACILITY,1995,CY,1169.28,NULL,Yes,Original,NULL,"Targets for end-Sept 1995 NIR & NDA not met, waived and modified for end-Dec 1995.",1
84,ALGERIA                            ,612,EFF  ,5/22/1995,1995,5/21/1998,1998,NULL,NULL,P1,R2  ,BLANK,EBS/96/90,CCFF,1995,CY,1169.28,NULL,Yes,Original,NULL,CCFF purchase of 174.6 requested at time of 2nd review and approved by Board 6/26/96 (higher cereal import costs). Actual purchase: 6/30/96.,2
84,ALGERIA                            ,612,EFF  ,5/22/1995,1995,5/21/1998,1998,NULL,NULL,P1,R3  ,BLANK,EBS/96/194,CCFF,1995,CY,1169.28,NULL,Yes,Revised ,NULL,"1st review: NDA/NIR targets waived, modified. 2nd review: CCFF purchase of 174.6 on 6/30/96 after Board approved 6/26/96. ",3
84,ALGERIA                            ,612,EFF  ,5/22/1995,1995,5/21/1998,1998,NULL,NULL,P1,R4  ,BLANK,EBS/97/104,CCFF,1995,CY,1169.28,NULL,Yes,Revised ,NULL,"1st review: NDA/NIR targets waived, modified. 2nd review: CCFF purchase of  SDR 174.6 mn on 6/30/96 after Board approved on 6/26/96.",4
84,ALGERIA                            ,612,EFF  ,5/22/1995,1995,5/21/1998,1998,NULL,NULL,P1,R5  ,BLANK,EBS/98/4,CCFF,1995,CY,1169.28,NULL,Yes,Revised ,NULL,"1st review: NDA/NIR targets waived, modified. 2nd review: CCFF purchase of  SDR 174.6 mn on 6/30/96 after Board approved on 6/26/96.",5
117,ALGERIA                            ,612,ESAF ,7/14/1993,1993,7/13/1996,1996,9/21/1994,9/20/1995,P2,OldBoardApproval,E,EBS /94/168,NO FACILITY,1994,CY,42.36,NULL,Yes,Original,NULL,NULL,-1
117,ALGERIA                            ,612,ESAF ,7/14/1993,1993,7/13/1996,1996,7/1/1994,6/30/1995,P2,R1  ,L,EBS /95/ 68,NO FACILITY,1994,CY,42.36,NULL,Yes,Original,NULL,NULL,1
119,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1995,1995,NULL,NULL,P1,OldBoardApproval,E,EBS /92/46,NO FACILITY,1992,CY,2149.25,NULL,Yes,Original,30.1,Schedule initially set out only for 1st year of EFF. 1st purch. incl.SDR 146.25 mn of set asides carried over from prev.SBA (cancelled on EFF appr.) set asides 25% of all subsequent purch. provided for.,-1
119,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/31/1995,1995,NULL,NULL,P1,R1  ,BLANK,EBS /92/112,NO FACILITY,1992,CY,2149.25,NULL,Yes,Original,30.1,Schedule initially set only for 1st yr of EFF. 1st purch. incl. SDR 146.25 mn of set asides from previous SBA (cancelled on EFF appr.) set asides of 25% of all subsequent purch. provided for. Auth. announced intent to request augmentation of 30% of quota.,1
119,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1995,1995,NULL,NULL,P1,R2  ,BLANK,EBS /92/144,NO FACILITY,1992,CY,2149.25,NULL,Yes,Original,30.1,Schedule initially set only for 1st yr EFF. 1st purch. incl. SDR 146.25 mn of set asides from previous SBA (cancelled on EFF appr.) Set asides of 25% of all subsequent purch. provided for. Auth. indicated intent to ask augment. of 30% of quota later on.,2
119,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1995,1995,NULL,NULL,P1,R3  ,BLANK,EBS /92/210,NO FACILITY,1992,CY,2483.15,NULL,Yes,Revised ,30.1,3rd review set out the 2nd year program for 1993. Added a new p.c.on discretionary expend. NFPS (excl.prov.). Access increased by augmentation of SDR 333.90 mn. Request drawing of accumulated set asides + advance of set asides scheduled after Feb.& May 93,3
119,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1995,1995,NULL,NULL,P1,R4  ,BLANK,EBS /93/37,NO FACILITY,1992,CY,2483.15,NULL,Yes,Revised ,30.1,3rd review set out 2nd yr prog. for 93. Added new p.c. on discretionary expend. of NFPS (excl.prov.). Access increased by augment. of SDR333.9mn. Requested drawing of accum. set asides + adv. of set asides sched. after Feb&May 93. No further set as. after,4
119,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1995,1995,NULL,NULL,P1,R5  ,BLANK,EBS /93/101,NO FACILITY,1992,CY,2483.15,NULL,Yes,Revised ,30.1,3rd review set out the 2nd year program for 1993. Added a new p.c.on discretionary expend. NFPS (excl.prov.). Access increased by augmentation of SDR 333.90 mn. Request drawing of accumulated set asides + advance of set asides scheduled after Feb.& May 93,5
119,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1995,1995,NULL,NULL,P1,R6  ,BLANK,EBS /93/167,NO FACILITY,1992,CY,2483.15,NULL,Yes,Revised ,30.1,3rd rev. set out the 2nd yr program for 1993. Added a new p.c. on discretionary expend. NFPS (excl.prov.). Access increased by augmentation of SDR 333.9 mn. Request drawing of accumulated set asides + advance of set asides scheduled after Feb. & May 93.,6
119,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1995,1995,NULL,NULL,P1,R7  ,BLANK,EBS /94/6,NO FACILITY,1992,CY,2483.15,NULL,Yes,Revised ,30.1,See comments in P1R6. The 7th review sets out the 3rd year program for 1994. Authorities expect to make only first 2 purchases under 3rd year.,7
119,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1995,1995,NULL,NULL,P1,R8  ,L,EBS /94/132,NO FACILITY,1992,CY,2483.15,NULL,Yes,Revised ,30.1,NULL,8
126,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1996,1996,3/31/1995,3/30/1996,P1,OC  ,L,EBS/96/44,NO FACILITY,1995,CY,4020.25,NULL,Yes,Revised ,3.1,"3rd review (12/92) set out second year pgm, augmented access by DSR 333.9 mil., requested drawing of accumulated set-asides and advance of set-asides (2/93 & 5/93). 7th review (2/94) set out third year pgm. Authoritiesexpected to make only 1st two purchases. 9th review (4/95) extended EFF for one year, increased access by SDR 1537.1 mil.",0
126,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1995,1995,3/31/1995,3/30/1996,P1,R9  ,E,EBS /95/51,NO FACILITY,1995,CY,4020.25,NULL,No ,Original,NULL,"Together with 9th review, authorities requested an extension of EFF to a 4th yr with augmentation of SDR 1,537.1 mn.",9
126,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1996,1996,3/31/1995,3/30/1996,P1,R10 ,BLANK,EBS /95/150,NO FACILITY,1995,CY,4020.25,NULL,Yes,Original,NULL,"Existing 3yr EFF was extended by 1 yr, with addit'l access. This 4th yr is treated as a separate arrang. in MONA. Extension & right to purchase required waivers under simultaneous 9th review of 3yr EFF. MLT debt p.c. incl. both external & domestic debt.",10
126,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1996,1996,3/31/1995,3/30/1996,P1,R11 ,BLANK,EBS /95/211,NO FACILITY,1995,CY,4020.25,NULL,Yes,Original,NULL,"Existing 3yr EFF was extended by 1 yr, with addit'l access. This 4th yr is treated as a separate arrang. in MONA. Extension & right to purchase required waivers under simultaneous 9th review of 3yr EFF. MLT debt p.c. incl. both external & domestic debt.",11
126,ARGENTINA                          ,213,EFF  ,3/31/1992,1992,3/30/1996,1996,3/31/1995,3/30/1996,P1,R12 ,BLANK,EBS /96/ 44,NO FACILITY,1995,CY,4020.25,NULL,Yes,Original,NULL,"Upon expiration, the EFF was succeeded by a SBA.",12
145,ARGENTINA                          ,213,SBA  ,4/12/1996,1996,1/11/1998,1998,NULL,NULL,P1,OldBoardApproval,E,EBS /96/ 45,NO FACILITY,1996,CY,720,NULL,Yes,Original,NULL,NULL,-1
145,ARGENTINA                          ,213,SBA  ,4/12/1996,1996,1/11/1998,1998,NULL,NULL,P1,OC  ,L,EBS/98/6,NO FACILITY,1996,CY,720,NULL,Yes,Original,NULL,Authorities did not request a waiver for nonobservance of a 9/99 performance criterion target on government spending and therefore decided to forego last purchase under the arrangement. This stand-by was followed by an EFF on 2/4/98.,0
145,ARGENTINA                          ,213,SBA  ,4/12/1996,1996,1/11/1998,1998,NULL,NULL,P1,R1  ,BLANK,EBS/96/161,NO FACILITY,1996,CY,720,NULL,Yes,Original,NULL,NULL,1
145,ARGENTINA                          ,213,SBA  ,4/12/1996,1996,1/11/1998,1998,NULL,NULL,P1,R2  ,BLANK,EBS/96/198,NO FACILITY,1996,CY,720,NULL,Yes,Original,NULL,NULL,2
145,ARGENTINA                          ,213,SBA  ,4/12/1996,1996,1/11/1998,1998,NULL,NULL,P1,R3  ,BLANK,EBS/97/133,NO FACILITY,1996,CY,720,NULL,Yes,Original,NULL,NULL,3
281,ARGENTINA                          ,213,EFF  ,2/4/1998,1998,2/3/2001,2001,NULL,NULL,P1,OldBoardApproval,E,EBS/98/6,NO FACILITY,1998,CY,2080,NULL,No ,Original,NULL,"At time of approval, purchase schedule decided through 11/98; SDR 720 million scheduled for 1999 and 760 for year 2000.",-1
281,ARGENTINA                          ,213,EFF  ,2/4/1998,1998,2/3/2001,2001,NULL,NULL,P1,R1  ,BLANK,EBS/98/160,NO FACILITY,1998,CY,2080,NULL,No ,Original,NULL,"At time of approval, purchase schedule decided through 11/98; SDR 720 million scheduled for 1999 and 760 for year 2000.",1
281,ARGENTINA                          ,213,EFF  ,2/4/1998,1998,2/3/2001,2001,NULL,NULL,P1,R2  ,BLANK,EBS/99/15,NO FACILITY,1998,CY,2080,NULL,No ,Original,NULL,"At time of approval, purchase schedule decided through 11/98; SDR 720 million scheduled for 1999 and 760 for year 2000.",2
281,ARGENTINA                          ,213,EFF  ,2/4/1998,1998,2/3/2001,2001,NULL,NULL,P1,R3  ,L,EBS/99/75,NO FACILITY,1998,CY,2080,NULL,No ,Original,NULL,"At time of approval, purchase schedule decided through 11/98; SDR 720 million scheduled for 1999 and 760 for year 2000.",3
328,ARGENTINA                          ,213,SBA  ,3/10/2000,2000,3/9/2003,2003,NULL,NULL,P1,OldBoardApproval,E,EBS/00/20,NO FACILITY,2000,CY,5398.61,NULL,No ,Original,NULL,Precautionary arrangement. Purchase schedule only set for the 1st year at the outset of the Stand-by.,-1
328,ARGENTINA                          ,213,SBA  ,3/10/2000,2000,1/23/2003,2003,NULL,NULL,P1,OC  ,L,EBS/01/150,SRF,2000,CY,16937,NULL,Yes,Revised ,NULL,"Precautionary arrangement. Purchase schedule only set for the 1st year at the outset of the Stand-by.  2nd rev.: on 1/12/2001 an augmentation approved to SDR 10.6 billion, SDR 2.1 billion of which will be provided under the Supplemental Reserve Facility (SRF). 4th rev.: an augmentation of SDR 6,087 million is approved, to be implemented under the SRF.   Due to a critical juncture current SBA cancelled on 1/23/2003 and replaced by SBA-supported transitional program.",0
328,ARGENTINA                          ,213,SBA  ,3/10/2000,2000,3/9/2003,2003,NULL,NULL,P1,R1  ,BLANK,EBS/00/191,NO FACILITY,2000,CY,5398.61,NULL,No ,Original,NULL,Precautionary arrangement. Purchase schedule only set for the 1st year at the outset of the Stand-by.,1
328,ARGENTINA                          ,213,SBA  ,3/10/2000,2000,3/9/2003,2003,NULL,NULL,P1,R2  ,BLANK,EBS/00/278,SRF,2000,CY,10585.5,NULL,Yes,Revised ,NULL,"Precautionary arrangement. Purchase schedule only set for the 1st year at the outset of the Stand-by.  2nd rev.: on 1/12/2001 an augmentation approved to SDR 10.6 billion, SDR 2.1 billion of which will be provided under the Supplemental Reserve Facility (SRF).",2
328,ARGENTINA                          ,213,SBA  ,3/10/2000,2000,3/9/2003,2003,NULL,NULL,P1,R3  ,BLANK,EBS/01/66,SRF,2000,CY,10585.5,NULL,Yes,Revised ,NULL,"Precautionary arrangement. Purchase schedule only set for the 1st year at the outset of the Stand-by.  2nd rev.: on 1/12/2001 an augmentation approved to SDR 10.6 billion, SDR 2.1 billion of which will be provided under the Supplemental Reserve Facility (SRF).",3
328,ARGENTINA                          ,213,SBA  ,3/10/2000,2000,3/9/2003,2003,NULL,NULL,P1,R4  ,BLANK,EBS/01/150,SRF,2000,CY,16937,NULL,Yes,Revised ,NULL,"Precautionary arrangement. Purchase schedule only set for the 1st year at the outset of the Stand-by.  2nd rev.: on 1/12/2001 an augmentation approved to SDR 10.6 billion, SDR 2.1 billion of which will be provided under the Supplemental Reserve Facility (SRF). 4th rev.: an augmentation of SDR 6,087 million is approved, to be implemented under the SRF.",4
92,ARMENIA                            ,911,SBA  ,6/28/1995,1995,6/27/1996,1996,6/28/1995,6/27/1996,P1,OldBoardApproval,E,EBS /95/100,STF,1995,CY,43.875,NULL,Yes,Original,NULL,At time of Board approval a STF in the amount of SDR  16.875 million was disbursed.,-1
92,ARMENIA                            ,911,SBA  ,6/28/1995,1995,6/27/1996,1996,6/28/1995,6/27/1996,P1,OC  ,L,EBS /96/12,STF,1995,CY,43.88,NULL,Yes,Original,NULL,The SBA was replaced by an ESAF approved on 2/14/96.,0
92,ARMENIA                            ,911,SBA  ,6/28/1995,1995,6/27/1996,1996,6/28/1995,6/27/1996,P1,R1  ,BLANK,EBS /95/155,STF,1995,CY,43.875,NULL,Yes,Original,NULL,NULL,1
142,ARMENIA                            ,911,ESAF ,2/14/1996,1996,2/13/1999,1999,2/14/1996,2/13/1997,P1,OldBoardApproval,E,EBS /96/12,NO FACILITY,1996,CY,101.25,NULL,Yes,Original,NULL,NULL,-1
142,ARMENIA                            ,911,ESAF ,2/14/1996,1996,2/13/1999,1999,2/14/1996,2/13/1997,P1,R1  ,L,EBS/96/143,NO FACILITY,1996,CY,101.25,NULL,Yes,Original,NULL,NULL,1
215,ARMENIA                            ,911,ESAF ,2/14/1996,1996,2/13/1999,1999,6/23/1997,6/22/1998,P2,OldBoardApproval,E,EBS/97/96,NO FACILITY,1997,CY,101.25,NULL,Yes,Original,NULL,NULL,-1
215,ARMENIA                            ,911,ESAF ,2/14/1996,1996,2/13/1999,1999,6/23/1997,6/22/1998,P2,R1  ,L,EBS/98/14,NO FACILITY,1997,CY,101.25,NULL,Yes,Original,NULL,NULL,1
284,ARMENIA                            ,911,ESAF ,2/14/1996,1996,12/20/1999,1999,12/21/1998,12/20/1999,P3,OldBoardApproval,E,EBS/98/213,NO FACILITY,1998,CY,109.35,NULL,Yes,Revised ,NULL,Delay in completing negotiations for third annual ESAF resulted in rephasing of purchases and extension of ESAF.,-1
284,ARMENIA                            ,911,ESAF ,2/14/1996,1996,12/20/1999,1999,12/21/1998,12/20/1999,P3,R1  ,L,EBS/99/181,NO FACILITY,1998,CY,109.35,NULL,Yes,Revised ,NULL,Delay in completing negotiations for third annual ESAF resulted in rephasing of purchases and extension of ESAF.,1
376,ARMENIA                            ,911,PRGF ,5/21/2001,2001,5/20/2004,2004,NULL,NULL,P1,OldBoardApproval,E,EBS/01/61,NO FACILITY,2001,CY,69,NULL,Yes,Original,NULL,NULL,-1
376,ARMENIA                            ,911,PRGF ,5/21/2001,2001,5/20/2004,2004,NULL,NULL,P1,R1  ,BLANK,EBS/02/170,NO FACILITY,2001,CY,69,NULL,Yes,Revised ,NULL,Rephasing was due to a delay in completion of the first review. The first and the second reviews combined.,1
376,ARMENIA                            ,911,PRGF ,5/21/2001,2001,5/20/2004,2004,NULL,NULL,P1,R2  ,BLANK,EBS/02/170,NO FACILITY,2001,CY,69,NULL,Yes,Revised ,NULL,Rephasing was due to a delay in completion of the first review. The first and the second reviews combined.,2
376,ARMENIA                            ,911,PRGF ,5/21/2001,2001,5/20/2004,2004,NULL,NULL,P1,R3  ,BLANK,EBS/03/33,NO FACILITY,2001,CY,69,NULL,Yes,Revised ,NULL,Rephasing was due to a delay in completion of the first review. The first and the second reviews combined.,3
376,ARMENIA                            ,911,PRGF ,5/21/2001,2001,5/20/2004,2004,NULL,NULL,P1,R4  ,BLANK,EBS/03/150,NO FACILITY,2001,CY,69,NULL,Yes,Revised ,NULL,Rephasing was due to a delay in completion of the first review. The first and the second reviews combined.,4
376,ARMENIA                            ,911,PRGF ,5/21/2001,2001,12/31/2004,2004,NULL,NULL,P1,R5  ,BLANK,EBS/04/56,NO FACILITY,2001,CY,69,NULL,Yes,Revised ,NULL,"Rephasing was due to a delay in completion of the first review. The first and the second reviews combined.  At time of 5th review, the Executive Board approved an extension of the arrangement by seven months to December 31, 2004.",5
376,ARMENIA                            ,911,PRGF ,5/21/2001,2001,12/31/2004,2004,NULL,NULL,P1,R6  ,L,EBS/04/158,NO FACILITY,2001,CY,69,NULL,Yes,Revised ,NULL,"Rephasing was due to a delay in completion of the first review. The first and the second reviews combined.  At time of 5th review, the Executive Board approved an extension of the arrangement by seven months to December 31, 2004.",6
159,AZERBAIJAN                         ,912,SBA  ,11/17/1995,1995,11/16/1996,1996,11/17/1995,11/16/1996,P1,OldBoardApproval,E,EBS /95/170,STF,1996,CY,58.5,NULL,Yes,Original,NULL,"The Board approved a second purchase under the STF for SDR 29.25 million along with the SBA.  The first purchase under STF, also for SDR 29.25 million, took place on April 24, 1995.",-1
159,AZERBAIJAN                         ,912,SBA  ,11/17/1995,1995,11/16/1996,1996,NULL,NULL,P1,OC  ,L,EBS/96/188,NO FACILITY,1996,CY,58.5,NULL,Yes,Original,NULL,SBA approved for SDR 58.5 and STF approved for SDR 29.25. 1st review: all 12/95 perf. criteria met except domestic bank credit to gen. govt and use of foreign financingby gen govt (waived). 2nd review: 3/96 perf. criteria met except on external arrrears (waived). 3rd review: 6/96 perf. criteria met.,0
159,AZERBAIJAN                         ,912,SBA  ,11/17/1995,1995,11/16/1996,1996,11/17/1995,11/16/1996,P1,R1  ,BLANK,EBS /96/ 43,STF,1996,CY,58.5,NULL,Yes,Original,NULL,"SBA approved for SDR 58.5 and STF approved for SDR 29.25.  All end-December performance criteria were met except for domestic bank credit to the general government and the use of foreign financing in financing the general government deficit, which were waived.",1
159,AZERBAIJAN                         ,912,SBA  ,11/17/1995,1995,11/16/1996,1996,NULL,NULL,P1,R2  ,BLANK,EBS/96/101,NO FACILITY,1996,CY,58.5,NULL,Yes,Original,NULL,SBA approved for SDR 58.5 and STF approved for SDR 29.25. All end-December 1995 perfromance criteria met except one on domestic bank credit to general government and the use of foreign financing by general government (both waived).,2
159,AZERBAIJAN                         ,912,SBA  ,11/17/1995,1995,11/16/1996,1996,NULL,NULL,P1,R3  ,BLANK,EBS/96/156,STF,1996,CY,58.5,NULL,Yes,Original,NULL,SBA approved for SDR 58.5 and STF approved for SDR 29.25. 1st review: all 12/95 perf. criteria met except domestic bank credit to gen. govt and use of foreign financingby gen govt (waived). 2nd review: 3/96 perf. criteria met except on external arrrears (waived). 3rd review: 6/96 perf. criteria met.,3
197,AZERBAIJAN                         ,912,ESAF ,12/20/1996,1996,12/19/1999,1999,12/20/1996,12/19/1997,P1,OldBoardApproval,E,EBS/96/188,NO FACILITY,1997,CY,93.6,NULL,Yes,Original,NULL,NULL,-1
197,AZERBAIJAN                         ,912,ESAF ,12/20/1996,1996,12/19/1999,1999,12/20/1996,12/20/1997,P1,R1  ,L,EBS/97/106,NO FACILITY,1997,CY,93.6,NULL,Yes,Original,NULL,NULL,1
198,AZERBAIJAN                         ,912,EFF  ,12/20/1996,1996,12/19/1999,1999,NULL,NULL,P1,OldBoardApproval,E,EBS/96/188,NO FACILITY,1997,CY,58.5,NULL,Yes,Original,NULL,NULL,-1
198,AZERBAIJAN                         ,912,EFF  ,12/20/1996,1996,12/19/1999,1999,NULL,NULL,P1,R1  ,BLANK,EBS/97/106,NO FACILITY,1997,CY,58.5,NULL,Yes,Original,NULL,NULL,1
198,AZERBAIJAN                         ,912,EFF  ,12/20/1996,1996,12/19/1999,1999,NULL,NULL,P1,R2  ,BLANK,EBS/97/229,NO FACILITY,1997,CY,58.5,NULL,Yes,Original,NULL,NULL,2
198,AZERBAIJAN                         ,912,EFF  ,12/20/1996,1996,12/19/1999,1999,NULL,NULL,P1,R3  ,BLANK,EBS/98/99,NO FACILITY,1997,CY,58.5,NULL,Yes,Original,NULL,NULL,3
198,AZERBAIJAN                         ,912,EFF  ,12/20/1996,1996,12/19/1999,1999,NULL,NULL,P1,R4  ,BLANK,EBS/99/1,CCFF,1997,CY,58.5,NULL,Yes,Revised ,NULL,Request for CCF purchase of SDR 58.5 mn approved on 1/25/99.,4
198,AZERBAIJAN                         ,912,EFF  ,12/20/1996,1996,12/19/1999,1999,NULL,NULL,P1,R5  ,L,EBS/99/102,CCFF,1997,CY,58.5,NULL,Yes,Revised ,NULL,Request for CCF purchase of SDR 58.5 mn approved on 1/25/99.,5
227,AZERBAIJAN                         ,912,ESAF ,12/20/1996,1996,12/19/1999,1999,12/22/1997,12/21/1998,P2,OldBoardApproval,E,EBS/97/229,NO FACILITY,1998,CY,93.6,NULL,Yes,Original,NULL,NULL,-1
227,AZERBAIJAN                         ,912,ESAF ,12/20/1996,1996,12/19/1999,1999,12/22/1997,12/21/1998,P2,OC  ,L,EBS/99/1,NO FACILITY,1998,CY,93.6,NULL,Yes,Original,NULL,NULL,0
227,AZERBAIJAN                         ,912,ESAF ,12/20/1996,1996,12/19/1999,1999,12/22/1997,12/21/1998,P2,R1  ,BLANK,EBS/98/99,NO FACILITY,1998,CY,93.6,NULL,Yes,Original,NULL,NULL,1
291,AZERBAIJAN                         ,912,ESAF ,12/20/1996,1996,12/19/1999,1999,1/25/1999,1/24/2000,P3,OldBoardApproval,E,EBS/99/1,CCFF,1999,CY,93.6,NULL,Yes,Revised ,NULL,Request for CCFF purchase of SDR 58.5 mn approved on 1/25/99. 3rd-year ESAF purchases rephased (backloaded). Program implementation negatively affected by oil price decline and Russian crisis.,-1
291,AZERBAIJAN                         ,912,ESAF ,12/20/1996,1996,12/19/1999,1999,1/25/1999,1/24/2000,P3,R1  ,L,EBS/99/102,NO FACILITY,1999,CY,93.6,NULL,Yes,Revised ,NULL,Request for CCFF purchase of SDR 58.5 mn approved on 1/25/99. 3rd-year ESAF purchases rephased (backloaded). Program implementation negatively affected by oil price decline and Russian crisis.,1
403,AZERBAIJAN                         ,912,PRGF ,7/2/2001,2001,7/1/2004,2004,NULL,NULL,P1,OldBoardApproval,E,EBS/01/91,NO FACILITY,2001,CY,80.45,NULL,Yes,Original,NULL,NULL,-1
